route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-FKN-F-mjp-1","T0","9891.T0.2-FKN-F-mjp-1.23.R","2-FKN-F-mjp-1.23.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9895.T0.2-FKN-F-mjp-1.23.R","2-FKN-F-mjp-1.23.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9901.T0.2-FKN-F-mjp-1.23.R","2-FKN-F-mjp-1.23.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9913.T0.2-FKN-F-mjp-1.23.R","2-FKN-F-mjp-1.23.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","544.T0.2-FKN-F-mjp-1.24.R","2-FKN-F-mjp-1.24.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","553.T0.2-FKN-F-mjp-1.24.R","2-FKN-F-mjp-1.24.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","564.T0.2-FKN-F-mjp-1.24.R","2-FKN-F-mjp-1.24.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","547.T0.2-FKN-F-mjp-1.25.R","2-FKN-F-mjp-1.25.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","557.T0.2-FKN-F-mjp-1.25.R","2-FKN-F-mjp-1.25.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9899.T0.2-FKN-F-mjp-1.26.R","2-FKN-F-mjp-1.26.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9905.T0.2-FKN-F-mjp-1.26.R","2-FKN-F-mjp-1.26.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9909.T0.2-FKN-F-mjp-1.26.R","2-FKN-F-mjp-1.26.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9917.T0.2-FKN-F-mjp-1.26.R","2-FKN-F-mjp-1.26.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9921.T0.2-FKN-F-mjp-1.27.R","2-FKN-F-mjp-1.27.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","568.T0.2-FKN-F-mjp-1.28.R","2-FKN-F-mjp-1.28.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","571.T0.2-FKN-F-mjp-1.28.R","2-FKN-F-mjp-1.28.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","575.T0.2-FKN-F-mjp-1.28.R","2-FKN-F-mjp-1.28.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9924.T0.2-FKN-F-mjp-1.29.R","2-FKN-F-mjp-1.29.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9928.T0.2-FKN-F-mjp-1.29.R","2-FKN-F-mjp-1.29.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","88.T0.2-FKN-F-mjp-1.30.R","2-FKN-F-mjp-1.30.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","150.T0.2-FKN-F-mjp-1.30.R","2-FKN-F-mjp-1.30.R","City (Flinders Street)","1"
"2-GLW-F-mjp-1","T0","7991.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","7993.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8002.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8073.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8085.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8093.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8097.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8121.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8129.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8133.T0.2-GLW-F-mjp-1.1.H","2-GLW-F-mjp-1.1.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","7996.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","7999.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8081.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8101.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8105.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8109.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8113.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8117.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8125.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8057.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8069.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8077.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8089.T0.2-GLW-F-mjp-1.2.H","2-GLW-F-mjp-1.2.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8005.T0.2-GLW-F-mjp-1.3.H","2-GLW-F-mjp-1.3.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8015.T0.2-GLW-F-mjp-1.3.H","2-GLW-F-mjp-1.3.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8025.T0.2-GLW-F-mjp-1.3.H","2-GLW-F-mjp-1.3.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8009.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8019.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8031.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8035.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8039.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8050.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8061.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8046.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8065.T0.2-GLW-F-mjp-1.4.H","2-GLW-F-mjp-1.4.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8544.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8546.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8548.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8550.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8552.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8554.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8556.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8558.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8619.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8622.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8628.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
"2-GLW-F-mjp-1","T0","8561.T0.2-GLW-F-mjp-1.5.H","2-GLW-F-mjp-1.5.H","Glen Waverley","0"
